SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE,price_per_sq_ft
Past Sale,Condo/Coop,25 Cumberland St,San Francisco,CA,94110,1395000,3,1.5,Mission Dolores,1307,,1909,1,,,Sold,,,,,1395000,2016-06-21,1696000,http://www.redfin.com/CA/San-Francisco/25-Cumberland-St-94110/home/1568298,San Francisco Association of Realtors (SFARMLS),445494,"Alain Pinel, REALTORS®",N,Y,37.7588789,-122.4241328,false,1298
Past Sale,Single Family Residential,1001 Ashbury St,San Francisco,CA,94117,3295000,4,4.5,Buena Vista Park,3423,1724,1928,2,Garage,,Sold,,,,,3295000,2015-11-03,3295000,http://www.redfin.com/CA/San-Francisco/1001-Ashbury-St-94117/home/1739846,San Francisco Association of Realtors (SFARMLS),437367,Pacific Union International Inc.,N,Y,37.764403,-122.446216,false,963
Past Sale,Multi-Family (5+ Unit),156 Missouri St,San Francisco,CA,94107,,1,5,94107,2565,,1962,,,,,,,,,,2015-11-13,1900000,http://www.redfin.com/CA/San-Francisco/156-Missouri-St-94107/home/1213059,,,,N,Y,37.764403,-122.397011,,741
Past Sale,Single Family Residential,1259 18th Ave,San Francisco,CA,94122,1395000,3,2.25,Inner Sunset,2236,2996,1924,2,Garage,,Sold,,,,,1395000,2015-11-24,1500000,http://www.redfin.com/CA/San-Francisco/1259-18th-Ave-94122/home/627725,San Francisco Association of Realtors (SFARMLS),438824,Coldwell Banker Res. R.E. Svcs,N,Y,37.764358,-122.476436,false,671
Past Sale,Condo/Coop,550 South Van Ness Ave #102,San Francisco,CA,94110,396637,1,1,Inner Mission,718,,1992,1,,,Sold,,,,,396637,2015-12-01,396637,http://www.redfin.com/CA/San-Francisco/550-S-Van-Ness-Ave-94110/unit-102/home/708543,San Francisco Association of Realtors (SFARMLS),434740,"GM Green Real Estate, Inc.",N,Y,37.7643635,-122.4178296,false,552
Past Sale,Single Family Residential,1246 22nd Ave,SAN FRANCISCO,CA,94122,938000,3,2,SAN FRANCISCO,2025,2996,1923,1,Garage,,Sold,,,,,938000,2016-06-21,1300000,http://www.redfin.com/CA/San-Francisco/1246-22nd-Ave-94122/home/626118,MLSListings Inc. (MLSLI),ML81581825,Century 21 Alliance Fine Homes and Estates,N,Y,37.764404,-122.480077,false,642
Past Sale,Condo/Coop,181 Noe St,San Francisco,CA,94114,989000,3,1,Duboce Triangle,,,,1,,,Sold,,,,,989000,2015-11-23,1230000,http://www.redfin.com/CA/San-Francisco/181-Noe-St-94114/home/21958310,San Francisco Association of Realtors (SFARMLS),439028,Climb Real Estate,N,Y,37.7662055,-122.4330818,false,
Past Sale,Condo/Coop,305 Guerrero St,San Francisco,CA,94103,1295000,3,2,Mission Dolores,,,2003,2,,,Sold,,,,,1295000,2016-05-24,1520000,http://www.redfin.com/CA/San-Francisco/305-Guerrero-St-94103/home/868650,San Francisco Association of Realtors (SFARMLS),444685,"Alain Pinel, REALTORS",N,Y,37.7662855,-122.4239936,false,
Past Sale,Single Family Residential,930 Ashbury St,San Francisco,CA,94117,1799000,4,3.5,Buena Vista Park,2058,2996,1917,2,Garage,,Sold,,,,,1799000,2016-01-07,2277700,http://www.redfin.com/CA/San-Francisco/930-Ashbury-St-94117/home/1343170,San Francisco Association of Realtors (SFARMLS),439539,Coldwell Banker,N,Y,37.7651278,-122.4457207,false,1107
Past Sale,Condo/Coop,1215 20th Ave,San Francisco,CA,94122,1095000,3,3,Central Sunset,1431,,1922,1,,,Sold,,,,,1095000,2015-12-28,1100000,http://www.redfin.com/CA/San-Francisco/1215-20th-Ave-94122/unit-IT1/home/8190510,San Francisco Association of Realtors (SFARMLS),439731,BHG Mason-McDuffie Real Estate,N,Y,37.76502,-122.478595,false,769
Past Sale,Condo/Coop,1001 17th St #204,San Francisco,CA,94107,1095000,2,2,Potrero Hill,1025,,2015,1,,,Sold,,,,,1095000,2016-02-03,1095000,http://www.redfin.com/CA/San-Francisco/1001-17th-St-94107/unit-204/home/102135993,San Francisco Association of Realtors (SFARMLS),440212,Vanguard Properties,N,Y,37.765025,-122.394131,false,1068
Past Sale,Condo/Coop,1001 17th St #201,San Francisco,CA,94107,699000,1,1,Potrero Hill,591,,2015,0,,,Sold,,,,,699000,2016-01-27,740000,http://www.redfin.com/CA/San-Francisco/1001-17th-St-94107/unit-201/home/102252385,San Francisco Association of Realtors (SFARMLS),440519,Vanguard Properties,N,Y,37.7650461,-122.394141,false,1252
